label,title,text,titletext
0,Rubio Goes From Robot to Terminator Against Donald Trump,"Marco Rubio was on a mission on Thursday night: Destroy The Donald. How much damage did he really do? The Florida senator delivered what was easily his best debate performance yet Thursday night, hammering frontrunner Donald Trump repeatedly on his character, his business record, and his claims to being a conservative. It was the performance he needed. The question now is whether it will matter at all. Fresh off a three-state winning streak, Trump is close to being anointed the Presumptive Nominee by the media. With just days to go before the crucial sting of Super Tuesday primaries, Trump appears to be leading in most if not every state on the verge of a contest. He has the momentum. He has the math on his side. “In 2011, he talked about the need for a pathway to citizenship,” Rubio said. “In 2012, Donald criticized Mitt Romney, saying that Mitt lost his election because of self-deportation. And so even today, we saw a report... that Donald, you’ve hired a significant number of people from other countries to take jobs that Americans could have filled.” Rubio then referenced Trump’s use of Polish workers to construct Trump Tower, which cost the real estate","Rubio Goes From Robot to Terminator Against Donald Trump. Marco Rubio was on a mission on Thursday night: Destroy The Donald. How much damage did he really do? The Florida senator delivered what was easily his best debate performance yet Thursday night, hammering frontrunner Donald Trump repeatedly on his character, his business record, and his claims to being a conservative. It was the performance he needed. The question now is whether it will matter at all. Fresh off a three-state winning streak, Trump is close to being anointed the Presumptive Nominee by the media. With just days to go before the crucial sting of Super Tuesday primaries, Trump appears to be leading in most if not every state on the verge of a contest. He has the momentum. He has the math on his side. “In 2011, he talked about the need for a pathway to citizenship,” Rubio said. “In 2012, Donald criticized Mitt Romney, saying that Mitt lost his election because of self-deportation. And so even today, we saw a report... that Donald, you’ve hired a significant number of people from other countries to take jobs that Americans could have filled.” Rubio then referenced Trump’s use of Polish workers"
0,Here's why creating single-payer health care in America is so hard,"The Hillary Clinton campaign is taking some hard knocks from liberals over its maladroit attacks on Bernie Sanders’ single-payer proposal. In one sense, the knocks are well-deserved. Even if single-payer markedly lowers medical expenditures, proponents such as Larry Seidman estimate that a tax increase of at least 8 percent of GDP would likely be required to finance it. That’s a heavy political lift. It’s about as much as the entire federal income tax on individuals. Yet as proponents rightly observe, these taxes would replace many visible and invisible ways we now provide to support a health sector that consume more than 17 percent of our economy. The experience of peer industrial democracies suggests that a well-designed single-payer system would be more humane and markedly less expensive than what we have right now. Such a system would certainly be less convoluted and bureaucratically hidebound. Aggressively deploying government power to rein in prices, a well-designed single-payer system would be more fiscally disciplined, and would probably be more effective in targeting resources to best promote public health. Sanders deserves credit for noting the real virtues of a well-executed single-payer system. In another way, though, Clinton's critique raises uncomfortable questions that deserve greater attention.","Here's why creating single-payer health care in America is so hard. The Hillary Clinton campaign is taking some hard knocks from liberals over its maladroit attacks on Bernie Sanders’ single-payer proposal. In one sense, the knocks are well-deserved. Even if single-payer markedly lowers medical expenditures, proponents such as Larry Seidman estimate that a tax increase of at least 8 percent of GDP would likely be required to finance it. That’s a heavy political lift. It’s about as much as the entire federal income tax on individuals. Yet as proponents rightly observe, these taxes would replace many visible and invisible ways we now provide to support a health sector that consume more than 17 percent of our economy. The experience of peer industrial democracies suggests that a well-designed single-payer system would be more humane and markedly less expensive than what we have right now. Such a system would certainly be less convoluted and bureaucratically hidebound. Aggressively deploying government power to rein in prices, a well-designed single-payer system would be more fiscally disciplined, and would probably be more effective in targeting resources to best promote public health. Sanders deserves credit for noting the real virtues of a well-executed single-payer system. In another"
0,Fear is making the GOP’s job easier,"Politics is not only about competing views on issues. It is also, and often most importantly, about which problems come to the forefront in the public conversation and in the minds of citizens and voters. The battle over what matters most could determine the outcome of the 2016 election. One set of concerns, related to race, immigration and attitudes toward Islam, divides the country deeply. Another group of issues, involving economic inequities and the difficulties many Americans are having getting ahead, has broad reach across party lines. Republicans want the first agenda to be paramount. This reflects both the attitudes of their supporters and a rational (if debatable) assessment of how they might win. It also explains the eagerness of Republican politicians to make blocking Syrian refugees from our shores the centerpiece of their initial response to the terrorist attacks in Paris. Casting Democrats as insufficiently mindful of the nation’s security — and charging them with being too responsive to the rights of religious and racial minorities — are among the oldest calls in the GOP political playbook. Democrats, by contrast, have every interest in an election organized around core economic concerns. Economic growth has not been fairly shared and","Fear is making the GOP’s job easier. Politics is not only about competing views on issues. It is also, and often most importantly, about which problems come to the forefront in the public conversation and in the minds of citizens and voters. The battle over what matters most could determine the outcome of the 2016 election. One set of concerns, related to race, immigration and attitudes toward Islam, divides the country deeply. Another group of issues, involving economic inequities and the difficulties many Americans are having getting ahead, has broad reach across party lines. Republicans want the first agenda to be paramount. This reflects both the attitudes of their supporters and a rational (if debatable) assessment of how they might win. It also explains the eagerness of Republican politicians to make blocking Syrian refugees from our shores the centerpiece of their initial response to the terrorist attacks in Paris. Casting Democrats as insufficiently mindful of the nation’s security — and charging them with being too responsive to the rights of religious and racial minorities — are among the oldest calls in the GOP political playbook. Democrats, by contrast, have every interest in an election organized around core economic concerns. Economic"
0,Donald Trump's Clintonesque foreign policy,"In a speech Wednesday outlining his would-be foreign policy, Donald Trump tried to sound presidential. The Republican presidential candidate succeeded in sounding tough if contradictory. But he outlined a foreign policy that isn’t so different from that of Hillary Clinton. Take ISIS for example. Trump acknowledged in his speech the jihadist army that is slipping its tentacles into the West and promised that its “days are numbered.” But Trump refused to provide any details of how he would fight ISIS—implying he doesn’t want to telegraph his brilliant strategy to the enemy. This is too clever by half. Given that ISIS is rampaging in the Middle East and has massacred Americans there, in Europe, and right here in the United States, it’s insufficient for a presidential candidate effectively to say “yadda, yadda I’ll beat ISIS” and provide no more information. Frankly, it sounds like a teenager who has failed every quiz during the semester but implausibly promises to save the day by acing the final. The reality is Trump’s strategy to defeat ISIS is basically the same as that of President Obama and Secretary Clinton, which is to say he has no strategy at all. Earlier Wednesday Trump all but endorsed","Donald Trump's Clintonesque foreign policy. In a speech Wednesday outlining his would-be foreign policy, Donald Trump tried to sound presidential. The Republican presidential candidate succeeded in sounding tough if contradictory. But he outlined a foreign policy that isn’t so different from that of Hillary Clinton. Take ISIS for example. Trump acknowledged in his speech the jihadist army that is slipping its tentacles into the West and promised that its “days are numbered.” But Trump refused to provide any details of how he would fight ISIS—implying he doesn’t want to telegraph his brilliant strategy to the enemy. This is too clever by half. Given that ISIS is rampaging in the Middle East and has massacred Americans there, in Europe, and right here in the United States, it’s insufficient for a presidential candidate effectively to say “yadda, yadda I’ll beat ISIS” and provide no more information. Frankly, it sounds like a teenager who has failed every quiz during the semester but implausibly promises to save the day by acing the final. The reality is Trump’s strategy to defeat ISIS is basically the same as that of President Obama and Secretary Clinton, which is to say he has no strategy at all. Earlier"
0,Boehner takes revenge,Top Dems want White House to call off Part B demo — The next cancer drug shortage,Boehner takes revenge. Top Dems want White House to call off Part B demo — The next cancer drug shortage
0,Fault lines: GOP civil war deepens,"Washington (CNN) Donald Trump is poised to breeze through another round of primary contests this week -- while the Republican Party splinters around him. Trump's ascent to the top of the GOP, which was capped last week with Ted Cruz' s devastating loss in the Indiana primary, happened so fast that even the billionaire himself was surprised. And the whipsawed party establishment now faces immediate choices -- none of which particularly appeal to them. 'Just not ready' for Trump Will they unite behind their party's standard-bearer? Will they sit out the 2016 campaign? Or will they fight on, in a quixotic quest to undermine Trump? Trump's opponents are still sorting through the wreckage of the GOP primary season for a path forward. But it has become painfully clear over the past five days that party unification will be tough to come by, if it happens at all. Trump himself enters his first full week as the presumptive nominee by signaling that he has limited patience for or interest in the establishment's rebellion. Though the election is six months away, he announced Monday that New Jersey Gov. Chris Christie will lead his transition team. But when CNN's Chris Cuomo gave Trump","Fault lines: GOP civil war deepens. Washington (CNN) Donald Trump is poised to breeze through another round of primary contests this week -- while the Republican Party splinters around him. Trump's ascent to the top of the GOP, which was capped last week with Ted Cruz' s devastating loss in the Indiana primary, happened so fast that even the billionaire himself was surprised. And the whipsawed party establishment now faces immediate choices -- none of which particularly appeal to them. 'Just not ready' for Trump Will they unite behind their party's standard-bearer? Will they sit out the 2016 campaign? Or will they fight on, in a quixotic quest to undermine Trump? Trump's opponents are still sorting through the wreckage of the GOP primary season for a path forward. But it has become painfully clear over the past five days that party unification will be tough to come by, if it happens at all. Trump himself enters his first full week as the presumptive nominee by signaling that he has limited patience for or interest in the establishment's rebellion. Though the election is six months away, he announced Monday that New Jersey Gov. Chris Christie will lead his transition team. But"
0,"Congress moves to kill union election rules, setting up new Obama veto","President Obama is expected to deliver the fourth veto of his presidency after Congress passed legislation Thursday overturning new union election rules which labor groups believe could help boost membership but business groups say will leave employers at a disadvantage during organizing drives. Opponents of the new rules, issued last year by the National Labor Relations Board and set to take effect next month, refer to them as allowing ""ambush elections,"" because they could allow a representation election to take place in less than two weeks after an official petition is filed. Under current rules, those elections can take place no sooner than 25 days after filing, and often take place considerably later than that. The U.S. Chamber of Commerce, for instance, said the rules would ""stack the deck against employers"" and ""virtually eliminate employers' opportunities to communicate their views, stifling a full and robust debate among employees about unionization."" The NLRB, however, said the new rules represent a long-delayed update to union election procedures, one ""designed to remove unnecessary barriers to the fair and expeditious resolution of representation questions"" by streamlining procedures and allowing for modern electronic communications instead of paper-based filings. Major labor groups strongly support the changes.","Congress moves to kill union election rules, setting up new Obama veto. President Obama is expected to deliver the fourth veto of his presidency after Congress passed legislation Thursday overturning new union election rules which labor groups believe could help boost membership but business groups say will leave employers at a disadvantage during organizing drives. Opponents of the new rules, issued last year by the National Labor Relations Board and set to take effect next month, refer to them as allowing ""ambush elections,"" because they could allow a representation election to take place in less than two weeks after an official petition is filed. Under current rules, those elections can take place no sooner than 25 days after filing, and often take place considerably later than that. The U.S. Chamber of Commerce, for instance, said the rules would ""stack the deck against employers"" and ""virtually eliminate employers' opportunities to communicate their views, stifling a full and robust debate among employees about unionization."" The NLRB, however, said the new rules represent a long-delayed update to union election procedures, one ""designed to remove unnecessary barriers to the fair and expeditious resolution of representation questions"" by streamlining procedures and allowing for modern electronic"
0,The scariest thing about Brussels is our reaction to it | Simon Jenkins,"Think like the enemy. Let’s suppose I am an Islamic State terrorist. I don’t do bombs or bullets. I leave the dirty work to the crazies in the basement. My job is what happens next. It is to turn carnage into consequences, body parts into politics. I am a consultant terrorist. I wear a suit, not explosives. A blood-stained concourse is a means to an end. The end is power. This week I had another success. I converted a squalid psychopathological act into a warrior-evoking, population-terrifying, policy-changing event. I sent a continent into shock. Famous politicians dropped everything to shower me with cliches. Crowned heads deluged me with glorious odium. I measure my success in column inches and television hours, in ballooning security budgets, butchered liberties, amended laws and – my ultimate goal – Muslims persecuted and recruited to our cause. I deal not in actions but in reactions. I am a manipulator of politics. I work through the idiocies of my supposed enemies. Textbooks on terrorism define its effects in four stages: first the horror, then the publicity, then the political grandstanding, and finally the climactic shift in policy. The initial act is banal. The atrocities in Brussels happen","The scariest thing about Brussels is our reaction to it | Simon Jenkins. Think like the enemy. Let’s suppose I am an Islamic State terrorist. I don’t do bombs or bullets. I leave the dirty work to the crazies in the basement. My job is what happens next. It is to turn carnage into consequences, body parts into politics. I am a consultant terrorist. I wear a suit, not explosives. A blood-stained concourse is a means to an end. The end is power. This week I had another success. I converted a squalid psychopathological act into a warrior-evoking, population-terrifying, policy-changing event. I sent a continent into shock. Famous politicians dropped everything to shower me with cliches. Crowned heads deluged me with glorious odium. I measure my success in column inches and television hours, in ballooning security budgets, butchered liberties, amended laws and – my ultimate goal – Muslims persecuted and recruited to our cause. I deal not in actions but in reactions. I am a manipulator of politics. I work through the idiocies of my supposed enemies. Textbooks on terrorism define its effects in four stages: first the horror, then the publicity, then the political grandstanding, and finally the climactic"
0,The Daily 202: How Democrats are dominating early voting in Nevada,"LAS VEGAS — Katy Perry’s glamour, Tom Steyer’s money, Univision’s megaphone and organized labor’s muscle, along with a late assist from Barack Obama, each helped lubricate Harry Reid’s well-oiled political machine over the past 48 hours. The media tends to focus on the lack of enthusiasm for Hillary Clinton relative to President Obama, which is real, but a few thousand more ballots were cast in Nevada on Saturday — during the first day of early voting — than during the kickoff day four years ago, when there was a similar flurry of activity to propel Democrats to the polls. And that was before Air Force One touched down yesterday afternoon. It is a testament to the power of the organization that Reid, the retiring Senate minority leader, has built over three decades and that he is now using to get Clinton and his hand-picked successor, Catherine Cortez Masto, across the finish line. As much as 60 percent of the vote will be cast before Nov. 8 in the Silver State. Democrats for several cycles have dominated early voting, running up the score so that Republicans struggle to overcome it on Election Day. Since handily winning the Republican caucuses here in","The Daily 202: How Democrats are dominating early voting in Nevada. LAS VEGAS — Katy Perry’s glamour, Tom Steyer’s money, Univision’s megaphone and organized labor’s muscle, along with a late assist from Barack Obama, each helped lubricate Harry Reid’s well-oiled political machine over the past 48 hours. The media tends to focus on the lack of enthusiasm for Hillary Clinton relative to President Obama, which is real, but a few thousand more ballots were cast in Nevada on Saturday — during the first day of early voting — than during the kickoff day four years ago, when there was a similar flurry of activity to propel Democrats to the polls. And that was before Air Force One touched down yesterday afternoon. It is a testament to the power of the organization that Reid, the retiring Senate minority leader, has built over three decades and that he is now using to get Clinton and his hand-picked successor, Catherine Cortez Masto, across the finish line. As much as 60 percent of the vote will be cast before Nov. 8 in the Silver State. Democrats for several cycles have dominated early voting, running up the score so that Republicans struggle to overcome it"
0,Netanyahu poised for third straight term as Israel PM after chief rival concedes,"Israel Prime Minister Benjamin Netanyahu began working Wednesday to form a coalition government with nationalist and ultra-Orthodox Jewish parties after his conservative Likud party scored a resounding and surprising victory following a fractious election campaign. Netanyahu said that he had spoken with the heads of five other parties that he hoped to bring into his government, adding that he hopes to complete the delicate task in ""two to three weeks."" ""The reality isn't waiting on us,"" Netanyahu said in a statement. ""Reality isn't taking a break. The citizens of Israel expect us to quickly put together a leadership that will work for the sake of the country's security, economy, and society as we promised to do, and that is what I will do."" Netanyahu's main rival -- Isaac Herzog of the centrist Zionist Union -- confirmed Wednesday that he had called the incumbent to congratulate him on his victory. ""I wished him luck, but let it be clear, the problems are the same problems, nothing has changed,"" said Herzog, who attempted to make economic and social issues the focus of the campaign in contrast to Netanyahu's focus on security. Herzog also vowed that his party would serve as ""an alternative","Netanyahu poised for third straight term as Israel PM after chief rival concedes. Israel Prime Minister Benjamin Netanyahu began working Wednesday to form a coalition government with nationalist and ultra-Orthodox Jewish parties after his conservative Likud party scored a resounding and surprising victory following a fractious election campaign. Netanyahu said that he had spoken with the heads of five other parties that he hoped to bring into his government, adding that he hopes to complete the delicate task in ""two to three weeks."" ""The reality isn't waiting on us,"" Netanyahu said in a statement. ""Reality isn't taking a break. The citizens of Israel expect us to quickly put together a leadership that will work for the sake of the country's security, economy, and society as we promised to do, and that is what I will do."" Netanyahu's main rival -- Isaac Herzog of the centrist Zionist Union -- confirmed Wednesday that he had called the incumbent to congratulate him on his victory. ""I wished him luck, but let it be clear, the problems are the same problems, nothing has changed,"" said Herzog, who attempted to make economic and social issues the focus of the campaign in contrast to Netanyahu's focus"
